City/ Location,State,What was the event?,Who made the decision? (Name & title),Category,Date of event,Link to sources or more information ,Additional link,Additional link,"Your name & email or twitter handle to contact (optional, will be viewable by the public)",
Dane County,WI,"County launches $250,000 small business support grant program",Dane County Administration,Not sure,4/1/2020,https://www.nbc15.com/content/news/Dane-Co-nonprofit-partner-for-small-business-grant-program-569290571.html,,,INT,
Denver,CO,"A stay at home order issued (except for certain essential activities), effective March 24-April 10th","Michael Hancock, Mayor of Denver",Quarantines and forced closures,3/23/2020,https://www.denvergov.org/content/dam/denvergov/Portals/771/documents/covid-19/public-orders/DenverStayAtHomeOrder_DDPHE.pdf,https://www.bakerlaw.com/alerts/denver-and-colorado-staying-at-home-in-the-mile-high-city,,INT,
Denver,CO,"City creates a $4 million relief fund that will offer cash grants of up to $7,500 for businesses affected by COVID-19",Denver Mayor Michael Hancock,Not sure,3/19/2020,https://www.denverpost.com/2020/03/19/denver-coronavirus-small-business-relief/,,,INT,
Denver,CO,Proclamation declaring moratorium on rents and mortgages,Denver City Council,Elected/public officials,4/13/2020,https://www.thedenverchannel.com/news/coronavirus/denver-city-council-approves-moratorium-on-rent-despite-having-no-legal-authority-to-carry-it-out,,,debistobie@gmail.com,
Denver,CO,Appliance Factory store chained shut,"Governor Polis, Mayor Hancock",Quarantines and forced closures,4/2/2020,https://denver.cbslocal.com/2020/04/02/denver-appliance-factory-stay-at-home-order/,,,debistobie@gmail.com,
Denver,CO,Hotel rooms for the homeless,City of Denver,Elected/public officials,3/15/2020,https://www.kunc.org/post/emergency-preventative-housing-begins-homeless-population-denver#stream/0,,,debistobie@gmail.com,
Denver,CO,Shutdown Protest,Coloradoans,Not sure,4/19/2020,https://ourcommunitynow.com/news-local/end-the-shutdown-2-protests-scheduled-at-the-colorado-state-capitol-on-sunday-april-19,,,debistobie@gmail.com,
Denver,CO,Denver mayor to extend stay at home order through May 8,"Michael Hancock, Mayor of Denver",Quarantines and forced closures,4/24/2020,https://www.denvergov.org/content/denvergov/en/mayors-office/newsroom/2020/City-and-County-of-Denver-COVID-19-Response-Update.html,,,,INT
Denver,CO,"Denver temporarily prohibiting alcohol in city parks, effective 4/24 through 7/23",Denver Parks and Recreation,Not sure,4/24/2020,https://theknow.denverpost.com/2020/04/24/denver-parks-alcohol-rules-coronavirus/238023/,,,,INT
Detroit,MI,$3.1M coronavirus relief fund announced for Detroit small businesses,Detroit Economic Growth Corporation,Not sure,3/31/2020,https://www.fox2detroit.com/news/3-1m-coronavirus-relief-fund-announced-for-detroit-small-businesses,,,INT,
Detroit ,MI,The city of Detroit will pay restaurants for meals to feed frontline workers,Detroit Mayor Mike Duggan ,Elected/public officials,4/6/2020,https://www.fox2detroit.com/news/detroit-will-pay-restaurants-for-meals-to-feed-frontline-workers-heres-how-to-sign-up,,,INT,
Douglas,MA,Local State of Emergency,Board of Selectmen,Quarantines and forced closures,3/17/2020,https://douglas-ma.gov/DocumentCenter/View/2079/Douglas-Declaration-of-Local-State-of-Emergency---COVID---19-3182020-pdf,,,,
Douglas County,NE,Douglas County Assessor/Register of Deeds halts all walk-in traffic,Douglas County Assessor,Not sure,3/30/2020,https://www.omaha.com/livewellnebraska/health/douglas-county-assessor-register-of-deeds-halts-all-walk-in-traffic/article_f2020e79-7f8a-5f19-9b11-a6dc5a476e13.html,,,daniel@directactiontx.com,
Durham,NC,city and county amend stay-at-home orders to conform to statewide order (EO#121),Durham City Council & County Commissioners,Quarantines and forced closures,4/4/2020,https://durhamnc.gov/CivicAlerts.aspx?AID=2318,,,Peg O'Hara,
Durham,NC,Stay-at-home order issued,Mayor Steve Schewel,Quarantines and forced closures,3/25/2020,https://durhamnc.gov/DocumentCenter/View/30043/City-of-Durham-Mayor-Emer-Dec-Second-Amdmt-3-25-20 FINAL,,,,
Durham County,NC,Durham County extended stay at home order until May 15th,Durham County Commission,Quarantines and forced closures,4/24/2020,https://www.newsobserver.com/news/coronavirus/article242262401.html?,,,,
East Longmeadow,MA,Town hall closed to the public,"Mary E. McNally, town manager",Quarantines and forced closures,3/17/2020,https://www.eastlongmeadowma.gov/DocumentCenter/View/9805/Closing-Town-Hall-to-Non-Essential-Personnel,,,bflatanne,
Edison,NJ,Edison Mayor announces that he will follow state executive order and close every park in Edison,"Mayor of Edison, Thomas Lankey",Quarantines and forced closures,4/8/2020,https://edisonnj.org/COVID19/Edison%20Township%20Parks%20Closed.pdf,,,"
",
Edison,NJ,Spring cleanup postponed,"Mayor of Edison, Thomas Lankey",Quarantines and forced closures,,https://edisonnj.org/News_Attachments/Township%20of%20Edison%20Spring%20Clean%20Up%20Postponement.pdf,,,,
Elkhart County,IN,A travel advisory (routine travel or activity is discouraged) was issued for the county,Elkhart County Board of Commissioners,Quarantines and forced closures,3/21/2020,https://www.elkharttruth.com/elkhart_county/first-covid--case-confirmed-in-elkhart-county-travel-advisory/article_2b016153-5a9a-578f-a3fe-135d537cd99a.html,https://wsbt.com/news/local/elkhart-county-issues-travel-advisory-in-response-to-covid-19-outbreak,,"Amanda Qualls, @abqualls",
Emmigration Canyon,UT,"Stay at home order extended to May 1, 2020.",Mayor Jennifer Wilson,Quarantines and forced closures,4/10/2020,https://slco.org/health/COVID-19/business/,,,@MeganStael,
Entire State,MA,All Public and Private schools closed extended until May 4,Gov. Charlie Baker,Schools,3/25/2020,https://www.mass.gov/news/baker-polito-administration-announces-extension-of-school-and-non-emergency-child-care-program,,,INT,
Eugene,OR,"The city is working through daycares, school districts, and the local YMCA to provide emergency childcare for essential workers, including Health Care workers, first responders, grocery store workers, and restaurants workers. The YMCA will also be providing meals for these children. ",City of Eugene and Eugene YMCA,Quarantines and forced closures,3/17/2020,https://www.eugene-or.gov/4333/COVID-19-Coronavirus,https://www.eugeneymca.org/youth,,,
Eugene ,OR,Eugene City Council unanimously declares a state of emergency ,Eugene City Council ,Elected/public officials,3/17/2020,https://www.eugene-or.gov/4333/COVID-19-Coronavirus,,,,
Eugene/Springfield,OR,"The two cities in conjunction with Lane County are supplying temporary emergency sheltering and support for the unhoused. This includes 73 portable restrooms, 58 handwashing stations, outreach teams to provide tents, food, and water, and coordination with local clinics to determine referral-based shelter.",City of Eugene,Quarantines and forced closures,4/15/2020,https://www.eugene-or.gov/4355/COVID-19-Resources-for-Unhoused,,,,
Everett,MA,"Implementation of ""no mask, no service"" policy for business in essential buildings or when taking public transit",Mayor Carlo DeMaria and Everett Director of Health and Human Services Jerry Navarra,Quarantines and forced closures,4/21/2020,https://www.boston.com/news/local-news/2020/04/20/latest-news-live-updates-outbreak-covid-19-massachusetts-new-england,,,,
Fanwood,NJ,NJ Governor issues Executive Order on construction closures and additional social distancing guidelines for businesses,NJ Governor Phil Murphy,Quarantines and forced closures,4/10/2020,https://covid19nj.gov,,,,
Fanwood,NJ,Grace period for taxes due May 1 extended from May 10 to May 31. Interest rate on unpaid property taxes set at .00001%,Mayor Collen Muhr and Council,Not sure,5/1/2020,https://www.fanwoodnj.org/update-on-covid-19-april-15-2020/,,,,
Fargo,ND,All public facilities closed until further notice,Mayor Dr. Tim Mahoney,Quarantines and forced closures,3/18/2020,https://fargond.gov/news-events/city-news-room/post-detail?id=5e72a368a84f0e01084422ba,,,,
Fargo,ND,"Stay Home | Save Lives Directive issued, not a forced stay-at-home order",Fargo Mayor Dr. Tim Mahoney and West Fargo Commission President Bernie Dardis,Quarantines and forced closures,4/7/2020,https://fargond.gov/news-events/city-news-room/post-detail?id=5e8cc8f4a84f0ef8854422eb,,,,
Farmington,NM,Mayor declares economic emergency in Farmington,Mayor Nate Duckett,Elected/public officials,3/15/2020,https://www.fmtn.org/CivicAlerts.aspx?AID=547,,,debistobie@gmail.com,
Fayetteville,AK,Social distancing and face coverings when visiting parks and trails,municipal government,Not sure,4/17/2020,http://www.fayetteville-ar.gov/3883/Coronavirus-Updates,,,,
Flagler Beach,FL,Flagler Beach and Flagler County closed their beaches for the forseeable future. There is currently no set date upon which they will re-open,County Administrator Jeremy Cameron,Quarantines and forced closures,3/22/2020,https://www.palmcoastobserver.com/article/flagler-beach-and-flagler-county-beaches-pier-to-close-monday-march-23,https://www.news4jax.com/news/local/2020/03/22/flagler-county-closes-beaches-amid-coronavirus-pandemic/,,S,
Flagstaff,AZ,City of Flagstaff declares a state of emergency ,Flagstaff City Council,Elected/public officials,3/15/2020,https://www.azfamily.com/news/continuing_coverage/coronavirus_coverage/city-of-flagstaff-declares-state-of-emergency-amid-coronavirus-outbreak/article_b1ef8cfa-6706-11ea-b5c4-b3f4e5d4b35e.html,,,INT,
Flint,MI,30-day citywide overnight curfew,Mayor Sheldon Neeley’s,Quarantines and forced closures,4/2/2020,https://nbc25news.com/news/coronavirus/flint-residents-have-mixed-opinion-on-coronavirus-curfew,,,INT,
Fort Myers,FL,Local Law Enforcement opt-out of Families First Coronavirus Response Act,Fort Myers Police Department Chief,Not sure,4/9/2020,https://www.nbc-2.com/story/41993545/local-law-enforcement-optout-of-families-first-coronavirus-response-act,,,INT,
Frankfort,KY,7 Midwest States to Partner on Reopening the Economy,"Governors Evers, DeWine, Whitmer, Pritzker, Walz, Beshear, Holcomb",Not sure,4/16/2020,https://www.usnews.com/news/politics/articles/2020-04-16/7-midwest-states-to-partner-on-reopening-the-economy,,,INT,
Fremont,CA,City requires all residents to wear a mask when outside of their homes,City of Fremont,Not sure,4/16/2020,,,,,
Fresno,CA,"Fresno extends stay at home order until May 6, effective Saturday April 11  and added penalties for violators","Lee Brand, Mayor of Fresno",Quarantines and forced closures,4/10/2020,https://www.fresnobee.com/news/coronavirus/article241860481.html,,,INT,
Fresno,CA,The National Guard has turned the Exhibit Hall into a temporary hospital for non-Covid patients in case hospitals exceed capacity as the Covid-19 cases rise,"A coordinated effort seemingly, between the governor, federal and county government. (Fresno County Supervisor Buddy Mendes)",Not sure,4/8/2020,https://www.fresnobee.com/news/coronavirus/article241875591.html,https://abc30.com/health/fresno-convention-center-to-be-turned-into-site-to-treat-non-covid-19-patients/6074304/,,INT,
Fresno,CA,Fresno receives $3 million in aid from the federal government to house the homeless amidst the Coronavirus crisis,President Trump,Quarantines and forced closures,4/11/2020,https://www.fresnobee.com/news/local/article241934521.html,,,INT,
Fulton County,GA,Judicial emergency for Magistrate's Court,"Cassandra Kirk, Chief Magistrate Judge",Courts,3/16/2020,https://www.magistratefulton.org/AlertCenter.aspx?AID=CORONAVIRUS-COURT-UPDATE-13,https://www.magistratefulton.org/AlertCenter.aspx?AID=CORONAVIRUS-COURT-UPDATE-13,,,
Goshen,IN,Schools closing until at least April 13,"Diane Woodworth, Goshen Schools Superintendent",Schools,3/15/2020,https://www.youtube.com/watch?v=J4hEH8yVkW4&feature=youtu.be,https://twitter.com/GoshenSchools/status/1239266193753739270,,"Amanda Qualls, @abqualls",
Grand Forks,ND,Public facilities in the city closed,Mayor Michael R. Brown,Quarantines and forced closures,3/20/2020,https://www.grandforksgov.com/home/showdocument?id=33115,,,,
Grand Forks,ND,State of Public Health Emergency Declared,Mayor Michael R. Brown,Elected/public officials,3/16/2020,https://www.grandforksgov.com/Home/Components/News/News/5930/2624?npage=3,,,,
Granite,UT,"Stay at home order extended to May 1, 2020.",Mayor Jennifer Wilson,Quarantines and forced closures,4/10/2020,https://slco.org/health/COVID-19/business/,,,@MeganStael,
Greenville,AL,City of Greenville Imposes Curfew Due to Coronavirus Pandemic,Greenville City Council,Quarantines and forced closures,4/2/2020,https://www.alabamanews.net/2020/04/02/city-of-greenville-imposes-curfew-due-to-coronavirus-pandemic/,,,INT,
Greenville,SC,Recovered coronavirus patients in Upstate SC asked to donate plasma for poss. treatment,Prisma Health,Not sure,4/15/2020,https://www.greenvilleonline.com/story/news/2020/04/15/coronavirus-recovered-patients-upstate-sc-asked-donate-plasma/5140288002/,,,,
Gresham,OR,Establishment of a small business support site for technical assistance and two phases of funding to support local businesses,Mayor Bemis,Quarantines and forced closures,3/31/2020,https://greshamoregon.gov/COVID-19/,,,,
Gulfport,MS,"City leaders extend curfew from 11pm to 5 am. All government employees with return to work on Monday, but must have their temperature taken",Mayor Billy Hewes ,Elected/public officials,4/19/2020,https://www.charlotteobserver.com/news/article242101586.html,,,,
Half Moon Bay,CA,Half Moon Bay and Coastside residents now have the opportunity to receive free COVID-19 testing if they meet certain conditions.,City of Half Moon Bay,Not sure,4/13/2020,https://www.half-moon-bay.ca.us/684/COVID-19-Daily-Update,,,,
Hanover Park,IL,Emergency Order allowing restaurants to sell liquor for off-site consumption,Village President (Mayor) Rodney S. Craig,Elected/public officials,,,,,,
Hanover Park,IL,Village President declared state of emergency,Village President (Mayor) Rodney S. Craig,Elected/public officials,3/17/2020,http://www.hpil.org/CivicAlerts.aspx?AID=203,https://www.hpil.org/DocumentCenter/View/6591/Declaration-of-Emergency-Signed-by-Mayor-Craig,,cdevelopment@hpil.org,
Harriman,UT,"Stay at home order extended to May 1, 2020.",Mayor Jennifer Wilson,Quarantines and forced closures,4/10/2020,https://slco.org/health/COVID-19/business/,,,@MeganStael,
Hayward,CA," City of Hayward opened a testing facility so sick people, first responders, and health-care workers with recent suspected exposures to the novel coronavirus can be tested for infection",City of Hayward,Not sure,3/23/2020,https://www.hayward-ca.gov/content/coronavirus-testing-center,,,,
Henrico,VA,Henrico Parks and Recreation facilities will be closed or offer limite services in accordance with Governor Northam's stay-at-home order.,Recreation and Parks Director Neil Luther,Quarantines and forced closures,4/2/2020,https://henrico.us/news/2020/04/henrico-makes-changes-at-disposal-areas-parks-to-accommodate-statewide-stay-at-home-order/,,,,
Hialeah,FL,"Mayor Carlos Hernandez announced a curfew, ordering residents to stay home 11 p.m.- 5 a.m. effective March 30. Previously, Miami-Dade Mayor Carlos Gimenez signed a stay at home order and capping public gatherings to 10 people.",Mayor Carlos Hernandez ,Quarantines and forced closures,3/30/2020,https://www.miamiherald.com/news/coronavirus/article241625336.html,,,,
Highland Park,IL,Facecoverings required in public places,Mayor Nancy Rotering,Elected/public officials,4/17/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-pandemic-chicago-illinois-news-20200417-bwjw57sdwbfkxo45oth2avi4ce-story.html,,,,
Hillsboro,NH,Sununu: Reopening decisions will be incremental,Gov. Chris Sununu,Quarantines and forced closures,4/16/2020,https://www.unionleader.com/news/health/coronavirus/sununu-reopening-decisions-will-be-incremental/article_7510884c-38c1-5e43-b39c-faf664034cb0.html,,,,
Hillsboro,OR,The city in conjunction with Community Action and the Hillsboro Salvation Army announced plans to shelter up to 35 non-housed individuals in the Hillsboro community,City of Hillsboro,Quarantines and forced closures,https://www.hillsboro-oregon.gov/Home/Components/News/News/10587/3550,,,,,
Hillsborough County,FL,Safer-at-home order,Hillsborough County Emergency Policy Group,Quarantines and forced closures,3/25/2020,https://www.abcactionnews.com/safer-at-home-hillsborough,,,S,
Hillsborough County,FL,Hillsborough County residents under curfew order,Hillsborough County BOCC chairman Les Miller,Quarantines and forced closures,4/13/2020,https://www.abcactionnews.com/news/coronavirus/hillsborough-county-leaders-approve-a-curfew-for-residents-amid-coronavirus-concerns,,,INT,
Hillsdale,MI,City Council passed a resolution asking Governor Whitmer to rescind statewide coronavirus restrictions,Hillsdale City Council,Elected/public officials,4/20/2020,https://www.hillsdale.net/news/20200421/hillsdale-council-passes-coronavirus-resolution?fbclid=IwAR3DokG5AaN6bopUKqPiEOj04-WU2xPO9PM8mwSskDVCHzafFsBsTON6WyE,https://www.cityofhillsdale.org/sites/default/files/fileattachments/mayor_and_city_council/meeting/8023/4.20.20_working_agenda.pdf,,Jace Lington jace.lington@ballotpedia.org,
Holladay,UT,"Stay at home order extended to May 1, 2020.",Mayor Jennifer Wilson,Quarantines and forced closures,4/10/2020,https://slco.org/health/COVID-19/business/,,,@MeganStael,
Holyoke,MA,Holyoke COVID-19 Business Emergency Operations Grant program,joint program with the Greater Holyoke Chamber of Commerce,Not sure,4/15.2020,https://www.gazettenet.com/Cities-and-towns-and-other-organizations-offering-grants-to-sustain-small-businesses-during-COVID-19-pandemic-33897848,,,bflatanne,
Honolulu,HI,Stay-at-home/work from home order for City and County of Honolulu,Mayor Kirk Caldwell,Quarantines and forced closures,3/22/2020,https://www.honolulu.gov/rep/site/may/may_docs/Emergency_Order_No._2020-02ProdLinks.pdf,https://www.honolulu.gov/mayor/proclamations-orders-and-rules.html,https://www.honolulu.gov/rep/site/may/may_docs/Stay_at_Home_Order-Guidance_Bulletin.pdf,,
Honolulu,HI,"Distance learning begins March 17 for 'Iolani School, summer courses offer K-12 credit and noncredit courses",Head of School Dr. Timothy R. Cottrell,Schools,4/14/2020,https://www.iolani.org/coronavirus,https://www.iolani.org/summer,,,
Honolulu,HI,"Special restrictions placed on jury-summoned in municipal courts, Supreme Court Law Library and King Kamehameha V Judiciary History Center also closed",Hawaii State Judiciary,Courts,3/16/2020,https://www.msn.com/en-us/news/us/jury-duty-coming-up-hawaiis-courts-issue-precautions-in-wake-of-coronavirus-outbreak/ar-BB11hbIV,,,,
Hoover,AL,Courts and other services closed 3/16 to 4/16,,Courts,3/16/2020,https://www.hooveralabama.gov/1049/City-Operations-Closings,,,JAR,
Hot Springs,AK,City of Hot Springs strives to keep our community abreast of all updates related to our local task force,municipal government,Not sure,,https://www.cityhs.net/858/COVID-19-Hot-Springs-Updates,,,,
Huntsville,AL,Closed schools 3/15 to 4/6  (Note: listed under news roll on City government site (link posted). But link to school site does not have any useful info),,Schools,3/15/2020,https://www.huntsvilleal.gov/coronavirus-disease-2019-response-and-information/recent-news/#more-69677,,,,
Indianapolis,IN,City announces $10 million fund for small-business loans during coronavirus crisis,Indianapolis Mayor Joe Hogsett,Not sure,3/30/2020,https://www.indystar.com/story/money/2020/03/30/indianapolis-coronavirus-fund-loans-small-businesses-announced/5086193002/,,,INT,
Indianapolis,IN,"2.6$ Million in funds has been allocated to supporting teachers, students, and families as schools transition online",Indianapolis Mayor Joe Hogsett,Elected/public officials,4/8/2020,https://fox59.com/news/education/2-6-million-to-jumpstart-new-indianapolis-e-learning-fund/,,,INT,
Indianapolis,IN,7 Midwest States to Partner on Reopening the Economy,"Governors Evers, DeWine, Whitmer, Pritzker, Walz, Beshear, Holcomb",Not sure,4/16/2020,https://www.usnews.com/news/politics/articles/2020-04-16/7-midwest-states-to-partner-on-reopening-the-economy,,,INT,
Indianapolis,IN,"Opening of ""community-based testing sites"" to reach minorties ",Mayor Joe Hogsett,Not sure,4/23/2020,https://www.cnn.com/us/live-news/us-coronavirus-update-04-23-20/h_f78d4177032fd6a54925de6ed2b1139d,,,,
Jacksonville,FL,"Millions of dollars could be available through a partnership with Vystar Credit Union, which could pay $100,000 per business",Jacksonville Mayor Lenny Curry,Not sure,3/31/2020,https://www.actionnewsjax.com/news/local/duval-county/new-loan-could-pay-100k-small-businesses-jacksonville/ZT2ZNKKEGNG27IKXTF2V6MQDSM/,,,INT,
Jamestown,ND,"ND State Hospital ramping up operations to combat coronavirus, created a new unit for testing and holding, visitor restrictions, currently has enough PPE",North Dakota Department of Human Services,Not sure,4/8/2020,https://ndresponse.gov/news/nd-state-hospital-provides-update-covid-19-preparedness-staff-continue-provide-vital,,,,
Jamestown,ND,"Due to the need for more protective equipment in order to combat COVID-19, Jamestown inmates have worked together to make masks and gowns for North Dakota agencies in need of such equipment.",Directors of Rough Rider Industries,Not sure,4/16/2020,https://www.kfyrtv.com/content/news/Jamestown-inmates-make-masks-and-gowns-for-North-Dakota-agencies-569705521.html,,,,
"Jamestown, White Shield, and Mandaree School Districts",ND,3 school districts in North Dakota will be having 4 day school weeks for the rest of the 2020-21 school year.,State Superintendant Kirsten Baesler,Schools,4/16/2020,https://bismarcktribune.com/news/local/education/3-north-dakota-school-districts-approved-for-4-day-weeks/article_428f8c8f-738f-5e63-bd9d-8d336bb04986.html,,,,
Jefferson and Boulder counties,CO,"Both counties extend stay at home order until May 8th, following Mayor of Denver's lead",respective county public health directors. Of Boulder: Jeff Zayach. of Jefferson: Mark B. Johnson,Quarantines and forced closures,4/24/2020,https://www.denverpost.com/2020/04/24/jefferson-county-stay-home-order-coronavirus-covid/,,,,INT
Jefferson County,AL,"Restaurants not allowed to serve in premises. Private and pre-schools closed. Senior Centers not allowed to have gatherings, All gatherings >25 people banned. Nursing homes not allowed to have visitors",Alabama Department of Public Health,Quarantines and forced closures,3/17/2020,https://www.tuscaloosa.com/posts/2020/03/17/alabama-department-of-public-health-order-regarding-covid-19,,,JAR,
Jersey City,NJ,Jersey City to reopen 5 parks with certain restrictions,Mayor Folop,Quarantines and forced closures,,https://www.pix11.com/news/coronavirus/jersey-city-is-reopening-5-parks-with-covid-19-restrictions,,,,
Kailua-Kona,HI,"COVID-19 case identified, confirmed with Lt. Gov.; state parks, ocean, and trails closed",,Quarantines and forced closures,3/20/2020,https://bigislandnow.com/2020/03/20/coronavirus-identified-in-kailua-kona/,https://bigislandnow.com/2020/03/20/all-hawaii-state-parks-commercial-ocean-and-trail-tours-closed/,,,
Kansas City,KS,Stay Home order,Governor Laura Kelly,Quarantines and forced closures,3/28/2020,https://governor.kansas.gov/governor-kelly-issues-temporary-statewide-stay-home-order-in-ongoing-effort-to-combat-covid-19/,https://www.kansascity.com/news/coronavirus/article241587466.html,,,
Kansas City,MO,"KC pays for hotel to isolate, house homeless recovering from Coronavirus",Kansas City Mayor Quinton Lucas,Elected/public officials,4/2/2020,https://fox4kc.com/tracking-coronavirus/kc-pays-for-hotel-to-isolate-house-homeless-recovering-from-coronavirus/,,,,
Kansas City,KS,Mayor shut down Guitar Center distribution Center,"Mayor Quinton Lucas, Kansas City Code Enforcement",Quarantines and forced closures,3/24/2020,https://www.kcur.org/health/2020-04-09/kansas-city-orders-guitar-center-facility-to-close-after-it-defied-stay-at-home-order,,,debistobie@gmail.com,
Kearns,UT,"Stay at home order extended to May 1, 2020.",Mayor Jennifer Wilson,Quarantines and forced closures,4/10/2020,https://slco.org/health/COVID-19/business/,,,@MeganStael,
Kent,OH,"Stay at Home Order extended through May 1, prohibiting gatherings of any size and closing all nonessential businesses",Ohio Department of Health Director Amy Acton,Quarantines and forced closures,4/2/2020,http://www.kentohio.org/664/Novel-Coronavirus-Information,,,,
Kingman,AZ,Additional Guidance on Business and Parks Closures,Mayor Jen Miles,Quarantines and forced closures,4/3/2020,https://www.cityofkingman.gov/home/showdocument?id=4027,,,,
L.A.,,"Los Angeles City council voted to grant relief to airline concessionaires so long as they continue to provide healthcare for furloughed and unemployed employees, securing health care for these employees for the next 2 months minimum",LA City Council,Not sure,4/24/2020,https://www.ocregister.com/2020/04/24/la-city-council-approves-extended-healthcare-for-laid-off-furloughed-lax-workers/,,,,
L.A.,CA,"Los Angeles makes testing available to all essential workers, including those who are asymptomatic, beginning 4/23",L.A. Mayor Eric Garcetti,Not sure,4/22/2020,https://laist.com/latest/post/20200422/mayor-garcetti-daily-coronavirus-update-april22-losangeles,,,,
L.A.,CA,"Los Angeles to deploy medical street teams to conduct rapid Covid-19 tests, offer health screenings, Covid public health information and access to temporary shelter. The iniative is aimed at assisting those who are without shelter. Beginning week of 4/20",L.A. Mayor Eric Garcetti,Not sure,4/17/2020,https://www.nbcnews.com/news/us-news/los-angeles-deploys-street-teams-help-homeless-during-covid-19-n1186746,,,,
Lansing,MI,Inmates released,Sheriff Scott Wriggelsworth,Not sure,3/19/2020,https://www.lansingstatejournal.com/story/news/2020/03/20/coronavirus-inmates-released-ingham-clinton-county-jails/2884348001/,,,,
Lansing,MI,Schools closed for 3 weeks,Gov. Gretchen Whitmer,Schools,3/13/2020,https://www.bridgemi.com/michigan-health-watch/whitmer-closes-all-michigan-schools-three-weeks-due-coronavirus?utm_source=Bridge+Magazine&utm_campaign=b7376ebafa-Health+Watch+3%2F13%2F20&utm_medium=email&utm_term=0_c64a28dd5a-b7376ebafa-73906469,,,,
Lansing,MI,Price Gouging ,Michigan Attorney General Dana Nessel,Not sure,3/21/2020,https://www.michigancapitolconfidential.com/price-gouging-right-now-we-are-out-of-any-hand-sanitizer,,,,
Lansing,MI,Church Gatherings Exempt,Gov. Gretchen Whitmer,Quarantines and forced closures,3/21/2020,https://www.freep.com/story/news/local/michigan/2020/03/21/coronavirus-whitmer-updates-order-assemblies-exempt-churches-penalty/2885395001/,,,,
Lansing,MI,"Closes hair and nail salons, barber shops",Gov. Gretchen Whitmer,Quarantines and forced closures,3/22/2020,https://www.freep.com/story/news/local/michigan/2020/03/21/coronavirus-whitmer-orders-salons-barber-shops-closed/2892949001/,,,,
Lansing,MI,Temporary requirement to suspend activities ,Gov. Gretchen Whitmer,Quarantines and forced closures,3/23/2020,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-522626--,00.html?utm_medium=email&utm_source=govdelivery",,,,
Lansing,MI,"Coronavirus complaints overwhelm Michigan unemployment, law enforcement",Attorney General Dana Nessel,Not sure,3/25/2020,https://www.bridgemi.com/michigan-government/coronavirus-complaints-overwhelm-michigan-unemployment-law-enforcement?utm_source=Bridge+Magazine&utm_campaign=dee219f2db-Health+Watch+3%2F26%2F2020&utm_medium=email&utm_term=0_c64a28dd5a-dee219f2db-73906469,,,,
Lansing,MI,"Michigan axes $80M in pork spending, shifts spending to fight coronavirus",Gov. Gretchen Whitmer,Not sure,3/31/2020,https://www.bridgemi.com/michigan-government/michigan-axes-80m-pork-spending-shifts-spending-fight-coronavirus?utm_source=Bridge+Magazine&utm_campaign=ce907c7229-Bridge+newsletter+03%2F31%2F20&utm_medium=email&utm_term=0_c64a28dd5a-ce907c7229-73906469,,,,
Lansing,MI,"Whitmer to end Michigan school year; seniors graduate, others move up",Gov. Gretchen Whitmer,Schools,3/31/2020,https://www.bridgemi.com/talent-education/whitmer-end-michigan-school-year-seniors-graduate-others-move?utm_source=Bridge+Magazine&utm_campaign=ce907c7229-Bridge+newsletter+03%2F31%2F20&utm_medium=email&utm_term=0_c64a28dd5a-ce907c7229-73906469,,,,
Lansing,MI,Michiganders who did not qualify for unemployment benefits now eligible,Gov. Gretchen Whitmer,Not sure,3/31/2020,https://www.freep.com/story/news/local/michigan/2020/03/30/unemployment-benefits-system-overloaded/5086881002/,,,,
Lansing,MI,"Gov. Whitmer considering release of low-risk, vulnerable prisoners amid coronavirus",Gov. Gretchen Whitmer,Not sure,3/31/2020,https://www.freep.com/story/news/local/michigan/2020/03/30/whitmer-prisoners-early-release-coronavirus/5085951002/,,,,
Lansing,MI,Gov. Whitmer signs order restoring water service to homes during coronavirus pandemic,Gov. Gretchen Whitmer,Not sure,3/31/2020,https://www.freep.com/story/news/local/michigan/2020/03/28/coronavirus-whitmer-signs-order-restore-water/2935076001/,,,,
Lansing,MI,"More than 2,000 Michigan companies hiring now",Michigan Department of Labor & Economic Opportunity,Not sure,3/31/2020,https://outlook.live.com/mail/0/inbox/id/AQMkADAwATExAGRjNy00YzMwLWIxYjMtMDACLTAwCgBGAAADo2IEo5yN20GRQstXFLlaagcA9G5ndroM9E%2BShvP0xCJGogAAAgEMAAAA9G5ndroM9E%2BShvP0xCJGogADdD0Z4QAAAA%3D%3D,,,,
Lansing,MI,7 Midwest States to Partner on Reopening the Economy,"Governors Evers, DeWine, Whitmer, Pritzker, Walz, Beshear, Holcomb",Not sure,4/16/2020,https://www.usnews.com/news/politics/articles/2020-04-16/7-midwest-states-to-partner-on-reopening-the-economy,,,INT,
Lansing,MI,Michigan Govenor: Abortions are ‘life-sustaining’,Gov. Gretchen Whitmer,Not sure,4/16/2020,https://www.theblaze.com/news/michigan-whitmer-abortion-life-sustaining?utm_source=theblaze-breaking&utm_medium=email&utm_campaign=202004Trending-MIGovAbortionLifeSustaining&utm_term=ACTIVE%20LIST%20-%20TheBlaze%20Breaking%20News,,,,
